Step,Features,CV_AUC,Diff
Step 0: Base Config (v11-like),95,0.7398706615215171,0.0
Step 1: - Custom Ratios,87,0.7398501575548546,-2.0503966662532846e-05
Step 2: - is_missing Flags,82,0.739893674171433,2.3012649915887806e-05
Step 3: - Manual Imputation,82,0.7397614084373098,-0.00010925308420739466
Step 4: - 4 High-Null Cols,78,0.7394316130039987,-0.00043904851751841445
Step 5: - Custom Flags (Raw 63),63,0.7393969994015417,-0.0004736621199754598
