iter	Logloss
117	0.5773945549
118	0.5773497087
119	0.5773195954
120	0.577293107
121	0.577260488
122	0.5772352977
123	0.5771776958
124	0.5771462821
125	0.5770925596
126	0.5770295456
127	0.5769941441
128	0.5769626917
129	0.576941084
130	0.576876288
131	0.576849443
132	0.5768192881
133	0.5767941294
134	0.5767686262
135	0.5767194258
136	0.5766375261
137	0.5766014758
138	0.5765639307
139	0.5765352429
140	0.5764988634
141	0.5764623272
142	0.5764317186
143	0.5764101846
144	0.5763777879
145	0.5763437625
146	0.576319024
147	0.5762884919
148	0.5762646373
149	0.5762264992
150	0.5761988597
151	0.5761678799
152	0.576140975
153	0.5761127943
154	0.5760868005
155	0.5760132855
156	0.575989158
157	0.5759472489
158	0.5759295782
159	0.5758572618
160	0.5757883359
161	0.5757642776
162	0.575741326
163	0.5757126261
164	0.5756872367
165	0.575645739
166	0.5756217869
167	0.5755903524
168	0.5755691193
169	0.5755479542
170	0.5755269248
171	0.5755009989
172	0.5754686273
173	0.5754441716
174	0.5754001877
175	0.57536294
176	0.5753405676
177	0.5753034606
178	0.5752840316
179	0.5752724591
180	0.5752485059
181	0.5752298223
182	0.5752058971
183	0.5751902399
184	0.5751706873
185	0.5751430202
186	0.5751304891
187	0.5751026748
188	0.5750936073
189	0.5750753166
190	0.5750559868
191	0.5750414797
192	0.5750048591
193	0.5749871434
194	0.574958152
195	0.5749451872
196	0.5748766438
197	0.5748537095
198	0.5748380689
199	0.5748298346
200	0.5748185805
201	0.5747859421
202	0.5747544823
203	0.5747221757
204	0.5747069626
205	0.5746892817
206	0.5746615302
207	0.5746423204
208	0.5746172311
209	0.5745930262
210	0.5745773616
211	0.5745489581
212	0.5745271751
213	0.5745132511
214	0.5744957436
215	0.5744748193
216	0.5744591825
217	0.5744413701
218	0.5744306816
219	0.5744054266
220	0.5743853304
221	0.5743653065
222	0.574333841
223	0.574316362
224	0.5743004529
225	0.57428038
226	0.5742550632
227	0.5742383282
228	0.5742274482
229	0.5741910619
230	0.5741744944
231	0.5741525821
232	0.5741261789
233	0.5741125779
234	0.5740984867
235	0.5740678992
236	0.5740454621
237	0.5740334078
238	0.574011879
239	0.5739961174
240	0.573979514
241	0.5739686549
242	0.5739299598
243	0.5739158324
244	0.5739065416
245	0.5738837334
246	0.5738765117
247	0.5738516274
248	0.5738429981
249	0.5738290351
250	0.5738181141
251	0.5738145123
252	0.5737919997
253	0.5737753183
254	0.5737588922
255	0.5737481768
256	0.5737254317
257	0.5737140129
258	0.5737028468
259	0.5736893233
260	0.5736768778
261	0.5736629121
262	0.5736585748
263	0.5736463411
264	0.5736324187
265	0.5736137189
266	0.5736022806
267	0.5735984719
268	0.5735906857
269	0.5735757154
270	0.5735552019
271	0.5735452653
272	0.5735364306
273	0.5735326305
274	0.5735241702
275	0.573518026
276	0.5735014155
277	0.573492308
278	0.5734864703
279	0.5734760312
280	0.5734638509
281	0.5734617783
282	0.5734324024
283	0.5734141935
284	0.5733960927
285	0.5733888948
286	0.5733819978
287	0.5733548358
288	0.5733430147
289	0.5733395119
290	0.5733249833
291	0.573310331
292	0.5733089837
293	0.573298302
294	0.5732970342
295	0.5732965637
296	0.5732872816
297	0.5732711128
298	0.5732584418
299	0.5732484656
300	0.5732384523
301	0.5732287053
302	0.5732107368
303	0.5731928805
304	0.5731792189
305	0.5731627263
306	0.5731488234
307	0.573137845
308	0.5731274795
309	0.5731096115
310	0.5731000176
311	0.5730938055
312	0.5730851067
313	0.5730694019
314	0.5730577191
315	0.5730358704
316	0.5730214339
317	0.5730025266
318	0.5729967161
319	0.5729801962
320	0.5729723694
321	0.5729686802
322	0.572957887
323	0.5729493222
324	0.5729447314
325	0.5729282193
326	0.5729175997
327	0.5729082269
328	0.5728981086
329	0.5728819163
330	0.5728734647
331	0.5728663741
332	0.5728498038
333	0.5728377551
334	0.57283206
335	0.5728160807
336	0.5728039961
337	0.5727959527
338	0.5727733844
339	0.5727658924
340	0.5727540727
341	0.5727438709
342	0.5727338366
343	0.572708637
344	0.5726936186
345	0.5726767742
346	0.5726616795
347	0.5726521229
348	0.5726425145
349	0.5726241724
350	0.5726204967
351	0.5726159103
352	0.5725903346
353	0.5725827131
354	0.5725758871
355	0.5725643052
356	0.5725594729
357	0.5725414003
358	0.5725310945
359	0.5725171506
360	0.5725078492
361	0.5724875946
362	0.5724760444
363	0.5724649576
364	0.5724552891
365	0.5724464813
366	0.5724396658
367	0.572424939
368	0.5724087756
369	0.5723820806
370	0.572361601
371	0.5723585813
372	0.5723472996
373	0.5723288128
374	0.5723238901
375	0.5723168631
376	0.5723064225
377	0.5722811711
378	0.5722725426
379	0.5722633598
380	0.5722583568
381	0.5722519353
382	0.5722440534
383	0.572227451
384	0.5722112726
385	0.5721993242
386	0.5721993075
387	0.5721933264
388	0.572192679
389	0.572188213
390	0.572167204
391	0.5721556511
392	0.5721268831
393	0.5721222907
394	0.5721154852
395	0.5721025706
396	0.5720874004
397	0.5720746935
398	0.572064379
399	0.572050763
400	0.5720359337
401	0.5720284634
402	0.5720242663
403	0.5720086677
404	0.571998709
405	0.5719873913
406	0.5719778587
407	0.5719623712
408	0.5719458723
409	0.5719340643
410	0.5719164529
411	0.5719053144
412	0.5718840913
413	0.5718658278
414	0.5718569129
415	0.5718511446
416	0.5718293738
417	0.5718176731
418	0.571806076
419	0.5717974157
420	0.5717765832
421	0.5717684732
422	0.5717534793
423	0.5717426768
424	0.5717277378
425	0.5717194366
426	0.5717046971
427	0.5716931354
428	0.5716827557
429	0.5716743789
430	0.5716621978
431	0.5716341968
432	0.571619436
433	0.5716068841
434	0.5715909762
435	0.571577744
436	0.5715696306
437	0.5715539844
438	0.5715334766
439	0.5715228643
440	0.5715127747
441	0.5715030011
442	0.571489805
443	0.5714674171
444	0.5714530942
445	0.5714386424
446	0.5714183332
447	0.5714034928
448	0.5713982084
449	0.5713946234
450	0.5713746174
451	0.5713553526
452	0.5713342617
453	0.571322216
454	0.5713087645
455	0.5713016863
456	0.5712872572
457	0.571274707
458	0.5712572246
459	0.5712469607
460	0.5712206464
461	0.5712074898
462	0.571200164
463	0.5711921763
464	0.571178863
465	0.5711594555
466	0.5711554797
467	0.5711470669
468	0.5711426002
469	0.5711358917
470	0.5711257624
471	0.5711055964
472	0.5711026174
473	0.5710899207
474	0.5710787442
475	0.5710579936
476	0.571035193
477	0.571016862
478	0.5710134312
479	0.5709971429
480	0.5709831988
481	0.5709675249
482	0.5709493174
483	0.57093797
484	0.5709249751
485	0.5709223624
486	0.5709121536
487	0.5708991797
488	0.5708876154
489	0.5708767179
490	0.5708660456
491	0.5708644883
492	0.5708533534
493	0.5708352871
494	0.5708327903
495	0.5708127879
496	0.5707920743
497	0.5707840531
498	0.5707580313
499	0.5707358997
500	0.5707140454
501	0.5707056901
502	0.5706910448
503	0.5706719933
504	0.5706668417
505	0.5706646402
506	0.5706606294
507	0.5706389481
508	0.5706183452
509	0.570604598
510	0.5705951626
511	0.5705777862
512	0.5705608665
513	0.5705483164
514	0.5705348555
515	0.5705209709
516	0.5705139469
517	0.5705020887
518	0.5704797177
519	0.570462805
520	0.5704525244
521	0.5704315061
522	0.5704186238
523	0.5704094187
524	0.5704036122
525	0.5703938368
526	0.5703882004
527	0.5703783952
528	0.5703642123
529	0.5703444662
530	0.5703372935
531	0.5703172912
532	0.570300006
533	0.570296924
534	0.5702887467
535	0.5702787604
536	0.5702627652
537	0.5702475773
538	0.5702313289
539	0.570220996
540	0.57020845
541	0.5701996527
542	0.5701896136
543	0.5701689803
544	0.5701474331
545	0.5701322784
546	0.5701149923
547	0.5701104869
548	0.5700964963
549	0.5700830221
550	0.5700629859
551	0.5700436227
552	0.5700414274
553	0.5700330044
554	0.5700203397
555	0.5700112812
556	0.5700077191
557	0.5699922977
558	0.5699901165
559	0.5699803031
560	0.5699768427
561	0.5699563213
562	0.5699383067
563	0.5699274065
564	0.5699159467
565	0.5699003073
566	0.569889948
567	0.5698877029
568	0.5698702668
569	0.5698659756
570	0.5698544977
571	0.5698348696
572	0.5698245559
573	0.5698167936
574	0.5698019742
575	0.5697880529
576	0.5697721301
577	0.5697541983
578	0.5697402511
579	0.5697253429
580	0.5697240883
581	0.569722538
582	0.5697113403
583	0.5696981907
584	0.5696908404
585	0.5696834205
586	0.5696679128
587	0.569660607
588	0.5696427959
589	0.5696247558
590	0.5696184986
591	0.5695970666
592	0.5695823994
593	0.5695731096
594	0.5695671955
595	0.5695557258
596	0.5695521887
597	0.5695376863
598	0.5695242355
599	0.5695091854
600	0.5694962055
601	0.5694853873
